Candidate Name,Committee Name,Contributor Type,Date of Receipt,Amount,Election Year,Office
A.J  Cooper ,AJ Cooper at large,Individual,7/7/2012,500.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,7/17/2012,5.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,7/12/2012,250.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,7/31/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/6/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/7/2012,300.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,7/25/2012,200.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,7/17/2012,250.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Business,7/15/2012,150.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/10/2012,10.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Organization,1/31/2013,565.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Organization,1/31/2013,297.76,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Organization,1/31/2013,685.04,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Organization,1/31/2013,1250.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Organization,1/31/2013,135.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Organization,1/31/2013,200.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Organization,1/31/2013,70.71,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/9/2013,500.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Business,9/26/2013,500.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/11/2012,150.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/12/2012,250.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/12/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/12/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/12/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/12/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/12/2012,40.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/12/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/12/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/13/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/14/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/14/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/14/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/14/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/14/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/17/2012,200.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/18/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/19/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/19/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/23/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/24/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/24/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/25/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/25/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/25/2012,20.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/26/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/26/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/26/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/26/2012,250.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/27/2012,1000.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/28/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Business,10/11/2012,500.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,11/3/2012,150.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,11/3/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,11/3/2012,20.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,11/3/2012,20.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,11/3/2012,20.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Business,10/31/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/31/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/31/2012,20.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,11/2/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,11/4/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/5/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/5/2012,10.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/5/2012,10.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/5/2012,10.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/5/2012,20.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/19/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/5/2012,15.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/5/2012,10.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/5/2012,10.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/5/2012,10.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/7/2012,10.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/7/2012,10.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/7/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/8/2012,50.0,2012.0,Council At-Large
Marion Barry ,Barry for Ward 8 Re-Election Committee,Candidate,3/31/2012,38289.69,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Candidate,6/22/2012,2800.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Candidate,10/10/2012,1272.32,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Candidate,12/10/2012,17003.97,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Candidate,2/28/2012,6035.87,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,12/14/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,12/13/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,12/16/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,12/16/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Corporation,12/16/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,12/16/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,12/14/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,12/14/2011,225.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Corporation,12/13/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,12/20/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,12/20/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,12/20/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,12/20/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,12/20/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,1/10/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,12/15/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,12/15/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,12/22/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,1/18/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,1/20/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,1/24/2012,100.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,1/24/2012,150.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,12/14/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,12/15/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,12/14/2011,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,12/13/2011,100.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/22/2012,100.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/20/2012,100.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Corporation,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Corporation,11/2/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Corporation,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,400.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/13/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/20/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/20/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/20/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/20/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/20/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/20/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/20/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/20/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,3/20/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/20/2012,100.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,3/19/2012,50.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/24/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/23/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/15/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/22/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,100.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/24/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,10/16/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,10/25/2012,50.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,10/25/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Corporation,10/25/2012,100.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,200.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,100.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/24/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Corporation,10/25/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Corporation,10/25/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,9/19/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,9/19/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Individual,9/19/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/24/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Corporation,10/25/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/24/2012,0.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/24/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Corporation,10/15/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/22/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/16/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Corporation,10/23/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,50.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,250.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Business,10/25/2012,500.0,2012.0,Council Ward 8
Marion Barry ,Barry for Ward 8 Re-Election Committee,Corporation,10/25/2012,250.0,2012.0,Council Ward 8
