,Candidate Name,Committee Name,Contributor Type,Date of Receipt,Amount,Year,Office
35,David Catania ,Catania 2010,Individual,10/28/2010,25,2010.0,Council At-Large
36,David Catania ,Catania 2010,Individual,10/28/2010,1,2010.0,Council At-Large
37,David Catania ,Catania 2010,Corporation,10/28/2010,1,2010.0,Council At-Large
38,David Catania ,Catania 2010,Individual,10/28/2010,3,2010.0,Council At-Large
39,David Catania ,Catania 2010,Individual,10/28/2010,1,2010.0,Council At-Large
40,David Catania ,Catania 2010,Individual,10/28/2010,5,2010.0,Council At-Large
41,David Catania ,Catania 2010,Individual,10/28/2010,1,2010.0,Council At-Large
42,David Catania ,Catania 2010,Individual,10/29/2010,1,2010.0,Council At-Large
43,David Catania ,Catania 2010,Corporation,10/29/2010,5,2010.0,Council At-Large
44,David Catania ,Catania 2010,Corporation,11/1/2010,5,2010.0,Council At-Large
45,David Catania ,Catania 2010,Corporation,11/1/2010,5,2010.0,Council At-Large
46,David Catania ,Catania 2010,Corporation,11/1/2010,1,2010.0,Council At-Large
47,David Catania ,Catania 2010,Individual,11/1/2010,1,2010.0,Council At-Large
48,David Catania ,Catania 2010,Individual,11/1/2010,25,2010.0,Council At-Large
49,David Catania ,Catania 2010,Individual,11/1/2010,5,2010.0,Council At-Large
50,David Catania ,Catania 2010,Corporation,11/12/2010,1,2010.0,Council At-Large
51,David Catania ,Catania 2010,Corporation,11/12/2010,5,2010.0,Council At-Large
52,David Catania ,Catania 2010,Individual,11/22/2010,5,2010.0,Council At-Large
53,David Catania ,Catania 2010,Corporate Sponsored PAC,11/1/2010,1,2010.0,Council At-Large
54,David Catania ,Catania 2010,Corporate Sponsored PAC,11/1/2010,1,2010.0,Council At-Large
55,David Catania ,Catania 2010,Individual,10/20/2010,1,2010.0,Council At-Large
56,David Catania ,Catania 2010,Corporate Sponsored PAC,10/18/2010,75,2010.0,Council At-Large
57,David Catania ,Catania 2010,Corporate Sponsored PAC,10/18/2010,1,2010.0,Council At-Large
58,David Catania ,Catania 2010,Corporate Sponsored PAC,10/19/2010,5,2010.0,Council At-Large
59,David Catania ,Catania 2010,Corporate Sponsored PAC,10/20/2010,1,2010.0,Council At-Large
60,David Catania ,Catania 2010,Corporation,10/18/2010,1,2010.0,Council At-Large
61,David Catania ,Catania 2010,Corporation,10/18/2010,1,2010.0,Council At-Large
62,David Catania ,Catania 2010,Corporation,10/18/2010,1,2010.0,Council At-Large
63,David Catania ,Catania 2010,Individual,10/19/2010,1,2010.0,Council At-Large
64,David Catania ,Catania 2010,Individual,10/19/2010,1,2010.0,Council At-Large
65,David Catania ,Catania 2010,Individual,10/20/2010,25,2010.0,Council At-Large
66,David Catania ,Catania 2010,Corporate Sponsored PAC,10/21/2010,1,2010.0,Council At-Large
67,David Catania ,Catania 2010,Corporate Sponsored PAC,10/21/2010,1,2010.0,Council At-Large
68,David Catania ,Catania 2010,Individual,1/29/2010,1,2010.0,Council At-Large
69,David Catania ,Catania 2010,Individual,1/29/2010,1,2010.0,Council At-Large
70,David Catania ,Catania 2010,Individual,1/29/2010,1,2010.0,Council At-Large
71,David Catania ,Catania 2010,Individual,1/29/2010,1,2010.0,Council At-Large
72,David Catania ,Catania 2010,Individual,1/22/2010,1,2010.0,Council At-Large
73,David Catania ,Catania 2010,Individual,1/26/2010,1,2010.0,Council At-Large
74,David Catania ,Catania 2010,Individual,1/26/2010,1,2010.0,Council At-Large
75,David Catania ,Catania 2010,Individual,1/26/2010,1,2010.0,Council At-Large
76,David Catania ,Catania 2010,Individual,1/26/2010,1,2010.0,Council At-Large
77,David Catania ,Catania 2010,Individual,1/22/2010,1,2010.0,Council At-Large
78,David Catania ,Catania 2010,Individual,1/29/2010,1,2010.0,Council At-Large
79,David Catania ,Catania 2010,Individual,1/29/2010,1,2010.0,Council At-Large
80,David Catania ,Catania 2010,Individual,1/29/2010,3,2010.0,Council At-Large
81,David Catania ,Catania 2010,Individual,1/29/2010,1,2010.0,Council At-Large
82,David Catania ,Catania 2010,Individual,1/29/2010,1,2010.0,Council At-Large
83,David Catania ,Catania 2010,Individual,1/29/2010,1,2010.0,Council At-Large
84,David Catania ,Catania 2010,Individual,1/29/2010,1,2010.0,Council At-Large
85,David Catania ,Catania 2010,Individual,1/26/2010,1,2010.0,Council At-Large
86,David Catania ,Catania 2010,Corporation,1/29/2010,1,2010.0,Council At-Large
87,David Catania ,Catania 2010,Corporation,1/26/2010,1,2010.0,Council At-Large
88,David Catania ,Catania 2010,Corporation,1/26/2010,1,2010.0,Council At-Large
89,David Catania ,Catania 2010,Corporation,1/26/2010,1,2010.0,Council At-Large
90,David Catania ,Catania 2010,Corporation,1/26/2010,1,2010.0,Council At-Large
91,David Catania ,Catania 2010,Corporation,1/26/2010,1,2010.0,Council At-Large
92,David Catania ,Catania 2010,Corporation,1/29/2010,1,2010.0,Council At-Large
93,David Catania ,Catania 2010,Corporation,1/29/2010,125,2010.0,Council At-Large
94,David Catania ,Catania 2010,Corporation,1/29/2010,125,2010.0,Council At-Large
95,David Catania ,Catania 2010,Corporation,1/29/2010,1,2010.0,Council At-Large
96,David Catania ,Catania 2010,Corporation,1/29/2010,1,2010.0,Council At-Large
97,David Catania ,Catania 2010,Corporation,1/29/2010,5,2010.0,Council At-Large
98,David Catania ,Catania 2010,Corporation,1/29/2010,1,2010.0,Council At-Large
99,David Catania ,Catania 2010,Corporation,1/29/2010,1,2010.0,Council At-Large
100,David Catania ,Catania 2010,Corporation,1/29/2010,5,2010.0,Council At-Large
101,David Catania ,Catania 2010,Corporation,1/29/2010,1,2010.0,Council At-Large
102,David Catania ,Catania 2010,Corporation,1/29/2010,1,2010.0,Council At-Large
103,David Catania ,Catania 2010,Corporation,1/26/2010,1,2010.0,Council At-Large
104,David Catania ,Catania 2010,Corporate Sponsored PAC,1/29/2010,1,2010.0,Council At-Large
105,David Catania ,Catania 2010,Corporate Sponsored PAC,1/29/2010,1,2010.0,Council At-Large
106,David Catania ,Catania 2010,Candidate,1/20/2010,1,2010.0,Council At-Large
107,David Catania ,Catania 2010,Individual,2/17/2010,4,2010.0,Council At-Large
108,David Catania ,Catania 2010,Individual,2/17/2010,3,2010.0,Council At-Large
109,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
110,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
111,David Catania ,Catania 2010,Individual,2/17/2010,5,2010.0,Council At-Large
112,David Catania ,Catania 2010,Individual,2/17/2010,5,2010.0,Council At-Large
113,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
114,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
115,David Catania ,Catania 2010,Business,2/17/2010,5,2010.0,Council At-Large
116,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
117,David Catania ,Catania 2010,Individual,2/17/2010,5,2010.0,Council At-Large
118,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
119,David Catania ,Catania 2010,Individual,2/17/2010,5,2010.0,Council At-Large
120,David Catania ,Catania 2010,Individual,2/17/2010,25,2010.0,Council At-Large
121,David Catania ,Catania 2010,Individual,2/17/2010,25,2010.0,Council At-Large
122,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
123,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
124,David Catania ,Catania 2010,Individual,2/17/2010,5,2010.0,Council At-Large
125,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
126,David Catania ,Catania 2010,Business,2/17/2010,1,2010.0,Council At-Large
127,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
128,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
129,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
130,David Catania ,Catania 2010,Individual,2/17/2010,5,2010.0,Council At-Large
131,David Catania ,Catania 2010,Individual,2/17/2010,5,2010.0,Council At-Large
132,David Catania ,Catania 2010,Individual,2/17/2010,5,2010.0,Council At-Large
133,David Catania ,Catania 2010,Individual,2/17/2010,25,2010.0,Council At-Large
134,David Catania ,Catania 2010,Individual,2/17/2010,25,2010.0,Council At-Large
135,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
136,David Catania ,Catania 2010,Individual,2/17/2010,25,2010.0,Council At-Large
137,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
138,David Catania ,Catania 2010,Individual,2/14/2010,1,2010.0,Council At-Large
139,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
140,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
141,David Catania ,Catania 2010,Individual,2/18/2010,5,2010.0,Council At-Large
142,David Catania ,Catania 2010,Individual,2/19/2010,1,2010.0,Council At-Large
143,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
144,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
145,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
146,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
147,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
148,David Catania ,Catania 2010,Individual,2/23/2010,5,2010.0,Council At-Large
149,David Catania ,Catania 2010,Individual,2/23/2010,5,2010.0,Council At-Large
150,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
151,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
152,David Catania ,Catania 2010,Business,2/23/2010,25,2010.0,Council At-Large
153,David Catania ,Catania 2010,Individual,2/23/2010,25,2010.0,Council At-Large
154,David Catania ,Catania 2010,Individual,2/23/2010,2,2010.0,Council At-Large
155,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
156,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
157,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
158,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
159,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
160,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
161,David Catania ,Catania 2010,Individual,2/23/2010,25,2010.0,Council At-Large
162,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
163,David Catania ,Catania 2010,Individual,2/23/2010,25,2010.0,Council At-Large
164,David Catania ,Catania 2010,Individual,2/23/2010,5,2010.0,Council At-Large
165,David Catania ,Catania 2010,Individual,2/23/2010,25,2010.0,Council At-Large
166,David Catania ,Catania 2010,Individual,2/23/2010,25,2010.0,Council At-Large
167,David Catania ,Catania 2010,Individual,2/23/2010,25,2010.0,Council At-Large
168,David Catania ,Catania 2010,Individual,2/23/2010,25,2010.0,Council At-Large
169,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
170,David Catania ,Catania 2010,Individual,2/23/2010,25,2010.0,Council At-Large
171,David Catania ,Catania 2010,Individual,2/23/2010,25,2010.0,Council At-Large
172,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
173,David Catania ,Catania 2010,Individual,3/1/2010,25,2010.0,Council At-Large
174,David Catania ,Catania 2010,Individual,3/1/2010,1,2010.0,Council At-Large
175,David Catania ,Catania 2010,Individual,3/1/2010,25,2010.0,Council At-Large
176,David Catania ,Catania 2010,Individual,3/1/2010,1,2010.0,Council At-Large
177,David Catania ,Catania 2010,Individual,3/1/2010,1,2010.0,Council At-Large
178,David Catania ,Catania 2010,Individual,3/1/2010,25,2010.0,Council At-Large
179,David Catania ,Catania 2010,Individual,3/1/2010,5,2010.0,Council At-Large
180,David Catania ,Catania 2010,Individual,3/1/2010,5,2010.0,Council At-Large
181,David Catania ,Catania 2010,Individual,3/1/2010,25,2010.0,Council At-Large
182,David Catania ,Catania 2010,Individual,3/1/2010,1,2010.0,Council At-Large
183,David Catania ,Catania 2010,Individual,3/1/2010,5,2010.0,Council At-Large
184,David Catania ,Catania 2010,Individual,3/1/2010,15,2010.0,Council At-Large
185,David Catania ,Catania 2010,Individual,3/1/2010,5,2010.0,Council At-Large
186,David Catania ,Catania 2010,Individual,2/23/2010,1,2010.0,Council At-Large
187,David Catania ,Catania 2010,Individual,2/25/2010,1,2010.0,Council At-Large
188,David Catania ,Catania 2010,Individual,2/27/2010,1,2010.0,Council At-Large
189,David Catania ,Catania 2010,Individual,3/9/2010,1,2010.0,Council At-Large
190,David Catania ,Catania 2010,Individual,3/9/2010,1,2010.0,Council At-Large
191,David Catania ,Catania 2010,Individual,3/4/2010,2,2010.0,Council At-Large
192,David Catania ,Catania 2010,Individual,3/4/2010,2,2010.0,Council At-Large
193,David Catania ,Catania 2010,Individual,3/4/2010,2,2010.0,Council At-Large
194,David Catania ,Catania 2010,Individual,3/4/2010,25,2010.0,Council At-Large
195,David Catania ,Catania 2010,Individual,3/4/2010,25,2010.0,Council At-Large
196,David Catania ,Catania 2010,Individual,3/4/2010,25,2010.0,Council At-Large
197,David Catania ,Catania 2010,Individual,3/4/2010,25,2010.0,Council At-Large
198,David Catania ,Catania 2010,Individual,3/4/2010,4,2010.0,Council At-Large
199,David Catania ,Catania 2010,Individual,3/4/2010,5,2010.0,Council At-Large
200,David Catania ,Catania 2010,Individual,3/4/2010,5,2010.0,Council At-Large
201,David Catania ,Catania 2010,Individual,3/2/2010,1,2010.0,Council At-Large
202,David Catania ,Catania 2010,Business,3/2/2010,2,2010.0,Council At-Large
203,David Catania ,Catania 2010,Business,3/2/2010,2,2010.0,Council At-Large
204,David Catania ,Catania 2010,Business,3/2/2010,2,2010.0,Council At-Large
205,David Catania ,Catania 2010,Business,3/2/2010,2,2010.0,Council At-Large
206,David Catania ,Catania 2010,Business,3/2/2010,2,2010.0,Council At-Large
207,David Catania ,Catania 2010,Individual,3/2/2010,1,2010.0,Council At-Large
208,David Catania ,Catania 2010,Individual,3/2/2010,5,2010.0,Council At-Large
209,David Catania ,Catania 2010,Individual,3/2/2010,5,2010.0,Council At-Large
210,David Catania ,Catania 2010,Individual,3/2/2010,1,2010.0,Council At-Large
211,David Catania ,Catania 2010,Individual,3/2/2010,1,2010.0,Council At-Large
212,David Catania ,Catania 2010,Individual,3/2/2010,1,2010.0,Council At-Large
213,David Catania ,Catania 2010,Individual,3/2/2010,1,2010.0,Council At-Large
214,David Catania ,Catania 2010,Individual,3/2/2010,2,2010.0,Council At-Large
215,David Catania ,Catania 2010,Individual,3/1/2010,1,2010.0,Council At-Large
216,David Catania ,Catania 2010,Business,3/1/2010,1,2010.0,Council At-Large
217,David Catania ,Catania 2010,Individual,3/1/2010,25,2010.0,Council At-Large
218,David Catania ,Catania 2010,Individual,3/1/2010,15,2010.0,Council At-Large
219,David Catania ,Catania 2010,Individual,3/1/2010,1,2010.0,Council At-Large
220,David Catania ,Catania 2010,Individual,3/1/2010,15,2010.0,Council At-Large
221,David Catania ,Catania 2010,Individual,2/28/2010,25,2010.0,Council At-Large
222,David Catania ,Catania 2010,Individual,3/2/2010,1,2010.0,Council At-Large
223,David Catania ,Catania 2010,Individual,3/3/2010,1,2010.0,Council At-Large
224,David Catania ,Catania 2010,Individual,3/3/2010,5,2010.0,Council At-Large
225,David Catania ,Catania 2010,Individual,3/3/2010,25,2010.0,Council At-Large
226,David Catania ,Catania 2010,Individual,3/3/2010,5,2010.0,Council At-Large
227,David Catania ,Catania 2010,Individual,3/3/2010,5,2010.0,Council At-Large
228,David Catania ,Catania 2010,Individual,3/3/2010,5,2010.0,Council At-Large
229,David Catania ,Catania 2010,Individual,3/3/2010,5,2010.0,Council At-Large
230,David Catania ,Catania 2010,Individual,3/3/2010,1,2010.0,Council At-Large
231,David Catania ,Catania 2010,Individual,3/3/2010,5,2010.0,Council At-Large
232,David Catania ,Catania 2010,Individual,3/3/2010,1,2010.0,Council At-Large
233,David Catania ,Catania 2010,Individual,3/3/2010,25,2010.0,Council At-Large
234,David Catania ,Catania 2010,Individual,3/3/2010,25,2010.0,Council At-Large
235,David Catania ,Catania 2010,Individual,3/1/2010,5,2010.0,Council At-Large
236,David Catania ,Catania 2010,Individual,3/4/2010,25,2010.0,Council At-Large
237,David Catania ,Catania 2010,Individual,3/4/2010,5,2010.0,Council At-Large
238,David Catania ,Catania 2010,Individual,3/9/2010,25,2010.0,Council At-Large
239,David Catania ,Catania 2010,Individual,3/9/2010,1,2010.0,Council At-Large
240,David Catania ,Catania 2010,Individual,3/7/2010,2,2010.0,Council At-Large
241,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
242,David Catania ,Catania 2010,Individual,3/7/2010,5,2010.0,Council At-Large
243,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
244,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
245,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
246,David Catania ,Catania 2010,Business,3/7/2010,25,2010.0,Council At-Large
247,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
248,David Catania ,Catania 2010,Individual,3/7/2010,5,2010.0,Council At-Large
249,David Catania ,Catania 2010,Individual,3/7/2010,25,2010.0,Council At-Large
250,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
251,David Catania ,Catania 2010,Individual,3/7/2010,15,2010.0,Council At-Large
252,David Catania ,Catania 2010,Individual,3/7/2010,3,2010.0,Council At-Large
253,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
254,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
255,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
256,David Catania ,Catania 2010,Individual,3/7/2010,5,2010.0,Council At-Large
257,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
258,David Catania ,Catania 2010,Individual,3/7/2010,2,2010.0,Council At-Large
259,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
260,David Catania ,Catania 2010,Individual,3/7/2010,25,2010.0,Council At-Large
261,David Catania ,Catania 2010,Individual,3/7/2010,5,2010.0,Council At-Large
262,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
263,David Catania ,Catania 2010,Individual,3/7/2010,5,2010.0,Council At-Large
264,David Catania ,Catania 2010,Business,3/7/2010,1,2010.0,Council At-Large
265,David Catania ,Catania 2010,Business,3/7/2010,1,2010.0,Council At-Large
266,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
267,David Catania ,Catania 2010,Business,3/7/2010,5,2010.0,Council At-Large
268,David Catania ,Catania 2010,Business,3/7/2010,25,2010.0,Council At-Large
269,David Catania ,Catania 2010,Business,3/7/2010,25,2010.0,Council At-Large
270,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
271,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
272,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
273,David Catania ,Catania 2010,Business,3/7/2010,25,2010.0,Council At-Large
274,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
275,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
276,David Catania ,Catania 2010,Business,3/7/2010,1,2010.0,Council At-Large
277,David Catania ,Catania 2010,Business,3/7/2010,1,2010.0,Council At-Large
278,David Catania ,Catania 2010,Business,3/7/2010,1,2010.0,Council At-Large
279,David Catania ,Catania 2010,Business,3/7/2010,1,2010.0,Council At-Large
280,David Catania ,Catania 2010,Individual,3/7/2010,1,2010.0,Council At-Large
281,David Catania ,Catania 2010,Individual,3/7/2010,2,2010.0,Council At-Large
282,David Catania ,Catania 2010,Business,3/7/2010,1,2010.0,Council At-Large
283,David Catania ,Catania 2010,Individual,3/7/2010,5,2010.0,Council At-Large
284,David Catania ,Catania 2010,Individual,3/5/2010,25,2010.0,Council At-Large
285,David Catania ,Catania 2010,Individual,3/5/2010,5,2010.0,Council At-Large
286,David Catania ,Catania 2010,Individual,3/6/2010,5,2010.0,Council At-Large
287,David Catania ,Catania 2010,Individual,3/6/2010,5,2010.0,Council At-Large
288,David Catania ,Catania 2010,Individual,3/9/2010,5,2010.0,Council At-Large
289,David Catania ,Catania 2010,Individual,3/9/2010,25,2010.0,Council At-Large
290,David Catania ,Catania 2010,Individual,3/9/2010,75,2010.0,Council At-Large
291,David Catania ,Catania 2010,Individual,3/9/2010,1,2010.0,Council At-Large
292,David Catania ,Catania 2010,Individual,3/9/2010,25,2010.0,Council At-Large
293,David Catania ,Catania 2010,Individual,3/9/2010,1,2010.0,Council At-Large
294,David Catania ,Catania 2010,Individual,3/9/2010,25,2010.0,Council At-Large
295,David Catania ,Catania 2010,Business,3/9/2010,1,2010.0,Council At-Large
296,David Catania ,Catania 2010,Individual,3/9/2010,1,2010.0,Council At-Large
297,David Catania ,Catania 2010,Business,3/9/2010,5,2010.0,Council At-Large
298,David Catania ,Catania 2010,Business,3/9/2010,1,2010.0,Council At-Large
299,David Catania ,Catania 2010,Business,3/9/2010,1,2010.0,Council At-Large
300,David Catania ,Catania 2010,Business,3/9/2010,1,2010.0,Council At-Large
301,David Catania ,Catania 2010,Business,3/9/2010,1,2010.0,Council At-Large
302,David Catania ,Catania 2010,Business,3/9/2010,1,2010.0,Council At-Large
303,David Catania ,Catania 2010,Business,3/9/2010,1,2010.0,Council At-Large
304,David Catania ,Catania 2010,Individual,3/9/2010,1,2010.0,Council At-Large
305,David Catania ,Catania 2010,Business,3/9/2010,1,2010.0,Council At-Large
306,David Catania ,Catania 2010,Business,3/9/2010,1,2010.0,Council At-Large
307,David Catania ,Catania 2010,Individual,3/9/2010,1,2010.0,Council At-Large
308,David Catania ,Catania 2010,Individual,3/9/2010,1,2010.0,Council At-Large
309,David Catania ,Catania 2010,Individual,3/9/2010,1,2010.0,Council At-Large
310,David Catania ,Catania 2010,Individual,3/9/2010,2,2010.0,Council At-Large
311,David Catania ,Catania 2010,Individual,3/9/2010,25,2010.0,Council At-Large
312,David Catania ,Catania 2010,Individual,3/9/2010,5,2010.0,Council At-Large
313,David Catania ,Catania 2010,Business,3/9/2010,1,2010.0,Council At-Large
314,David Catania ,Catania 2010,Individual,3/10/2010,1,2010.0,Council At-Large
315,David Catania ,Catania 2010,Individual,3/10/2010,1,2010.0,Council At-Large
316,David Catania ,Catania 2010,Individual,3/10/2010,1,2010.0,Council At-Large
317,David Catania ,Catania 2010,Business,3/10/2010,1,2010.0,Council At-Large
318,David Catania ,Catania 2010,Individual,3/10/2010,1,2010.0,Council At-Large
319,David Catania ,Catania 2010,Corporate Sponsored PAC,3/25/2010,1,2010.0,Council At-Large
320,David Catania ,Catania 2010,Corporate Sponsored PAC,4/7/2010,25,2010.0,Council At-Large
321,David Catania ,Catania 2010,Corporate Sponsored PAC,4/7/2010,75,2010.0,Council At-Large
322,David Catania ,Catania 2010,Corporate Sponsored PAC,5/6/2010,15,2010.0,Council At-Large
323,David Catania ,Catania 2010,Corporate Sponsored PAC,6/9/2010,5,2010.0,Council At-Large
324,David Catania ,Catania 2010,Individual,3/11/2010,1,2010.0,Council At-Large
325,David Catania ,Catania 2010,Individual,3/11/2010,5,2010.0,Council At-Large
326,David Catania ,Catania 2010,Individual,3/24/2010,5,2010.0,Council At-Large
327,David Catania ,Catania 2010,Individual,3/12/2010,1,2010.0,Council At-Large
328,David Catania ,Catania 2010,Individual,3/13/2010,5,2010.0,Council At-Large
329,David Catania ,Catania 2010,Individual,3/14/2010,1,2010.0,Council At-Large
330,David Catania ,Catania 2010,Individual,3/14/2010,5,2010.0,Council At-Large
331,David Catania ,Catania 2010,Individual,3/14/2010,1,2010.0,Council At-Large
332,David Catania ,Catania 2010,Individual,3/14/2010,1,2010.0,Council At-Large
333,David Catania ,Catania 2010,Individual,3/14/2010,5,2010.0,Council At-Large
334,David Catania ,Catania 2010,Individual,3/14/2010,5,2010.0,Council At-Large
335,David Catania ,Catania 2010,Corporation,3/14/2010,1,2010.0,Council At-Large
336,David Catania ,Catania 2010,Individual,3/14/2010,1,2010.0,Council At-Large
337,David Catania ,Catania 2010,Individual,3/14/2010,1,2010.0,Council At-Large
338,David Catania ,Catania 2010,Individual,3/14/2010,25,2010.0,Council At-Large
339,David Catania ,Catania 2010,Individual,3/14/2010,1,2010.0,Council At-Large
340,David Catania ,Catania 2010,Individual,3/14/2010,5,2010.0,Council At-Large
341,David Catania ,Catania 2010,Individual,3/14/2010,1,2010.0,Council At-Large
342,David Catania ,Catania 2010,Individual,3/14/2010,1,2010.0,Council At-Large
