Election Year,Office,Committee Name
2012,Council At-Large,Re-Elect Orange At Large 2012
2012,Council At-Large,Shapiro 2012
2012,Council At-Large,Swain 2012
2012,Council Ward 2,Committee to elect Fiona Greig
2012,Council Ward 2,Evans 2012
2012,Council Ward 4,Bowser 2012
2012,Council Ward 4,Committee to elect Renee 4 Ward 4 Council
2012,Council Ward 4,Elect Judi Jones Ward 4 2012
2012,Council Ward 4,Friends of Calvin Gurley
2012,Council Ward 4,Jahi for Ward 4
2012,Council Ward 4,Vote for Max 2012
2012,Council Ward 5,Bill Dwenger For Ward 5
2012,Council Ward 5,Citizens to Elect Ron Magnus
2012,Council Ward 5,Citizens to Elect William Boston Ward 5
2012,Council Ward 5,Committee to elect Julianne Robertson King
2012,Council Ward 5,Committee to Elect Ruth Marshall for Ward 5 Council
2012,Council Ward 5,Frank Wilds For Ward 5
2012,Council Ward 5,Gardner Ward 5 Council
2012,Council Ward 5,Hubbard for Ward 5
2012,Council Ward 5,Hunter 2012
2012,Council Ward 5,Kenyan McDuffie 2012
2012,Council Ward 5,Petti for Ward 5
2012,Council Ward 5,Robert Albrecht For Ward 5
2012,Council Ward 5,Salatti for Ward 5
2012,Council Ward 5,The Committee to Elect Kathy Henderson for Ward 5 Councilmember 2012
2012,Council Ward 5,Tim Day for DC
2012,Council Ward 5,Ward 5 for Cheeks
2012,Council Ward 5,Zapata Win 5 2012
2012,Council Ward 7,Bennett for Ward 7
2012,Council Ward 7,Chavous for Ward 7 2012
2012,Council Ward 7,Committee to elect Ronald Moten for Ward 7 City Council
2012,Council Ward 7,Folden 4 Ward 7
2012,Council Ward 7,Monica Johnson Campaign for election
2012,Council Ward 7,Re-Elect Yvette Alexander 2012
2012,Council Ward 7,Tom Brown for Ward 7
2012,Council Ward 7,Ward 7 For Jimmy
2012,Council Ward 8,Abraham for Ward 8
2012,Council Ward 8,Barry for Ward 8 Re-Election Committee
2012,Council Ward 8,Committee to Elect Natalie Williams
2012,Council Ward 8,Committee to elect SS for Ward 8 Council
2012,Council Ward 8,Gaston 2012
2012,Council Ward 8,GRF - City Council Ward 8
2012,Council Ward 8,Patterson for Ward 8
2012,Democratic Delegates,Gregory Cendana for Delegate
2012,"Republican National Committeeman
",Jordan For DC
2012,"Republican National Committeeman
",Kabel 2012
2012,Republican National Committeewoman,Homan for DC NCW
2012,Republican National Committeewoman,Teri Galvez for National Committeewoman
2012,US Senator,Michael D. Brown for Senate 2012
2012,US Senator,Rimensnyder for Senate
2012,School Board Ward 2,Jack Jacobson for DC
2012,School Board Ward 7,KW For Ward 7 SBOE
2012,School Board Ward 8,Committee to Elect Philip Pannell
2012,School Board Ward 8,Committee to Re-Elect Trayon White
2012,School Board At-Large,Committee to Elect Marvin Tucker
2012,School Board At-Large,Mary Lord 2012
2013,Council At-Large,Bonds for Council
2013,Council At-Large,Capozzi for City Council
2013,Council At-Large,Committee to Elect Diallo Brooks
2013,Council At-Large,"Committee to Elect John F. Settles, II"
2013,Council At-Large,Committee to Elect Jon Gann
2013,Council At-Large,Committee to Elect Paul Zukerberg
2013,Council At-Large,Cooper At-Large
2013,Council At-Large,Elissa 2013
2013,Council At-Large,Frumin At-Large
2013,Council At-Large,Mara 2013
2013,Council At-Large,Michael Brown 2013
2013,Council At-Large,The Committee to Elect Perry Redd
2014,Mayor,"Bruce Majors, Libertarian for Mayor"
2014,Mayor,Carlos Allen For Mayor
2014,Mayor,Christian Carter for Mayor 2014
2014,Mayor,Committee to Elect Andy Shallal
2014,Mayor,Evans for Mayor
2014,Mayor,Michael Green Mayoral Committee
2014,Mayor,Muriel Bowser for Mayor
2014,Mayor,Nestor for Mayor 2014
2014,Mayor,Orange for Mayor
2014,Mayor,Reta Jo Lewis for Mayor of Washington 2014
2014,Mayor,Tommy Wells for Mayor
2014,Mayor,Victoria Gordon 4 Mayor
2014,Mayor,Vince Gray 2014
2014,Council Chairman,Elect Cheeks for Chairman
2014,Council Chairman,Friends of Calvin H. Gurley 2014
2014,Council Chairman,Mendelson For Chairman 2014
2014,Council At-Large,Bonds for Council 2014
2014,Council At-Large,Brian Hart for DC
2014,Council At-Large,Committee to Elect Eugene Puryear
2014,Council At-Large,Committee to Elect John F. Settles 2014
2014,Council At-Large,Elissa 2014
2014,Council At-Large,Eric Jones 2014
2014,Council At-Large,Fleming 2014
2014,Council At-Large,Hagler For DC
2014,Council At-Large,Kishan For DC
2014,Council At-Large,Morgan for DC
2014,Council At-Large,Robert White At-Large
2014,Council At-Large,Rubio for DC
2014,Council At-Large,Vote Valentine 2014
2014,Council At-Large,Wendell for DC Council
2014,Council Ward 1,Beverley Wheeler for Ward 1
2014,Council Ward 1,Brianne for DC
2014,Council Ward 1,Jim Graham 2014
2014,Council Ward 1,Weaver 2014
2014,Council Ward 1,Weaver Campaign Committee
2014,Council Ward 3,Cheh 2014
2014,Council Ward 5,Jacqueline Manning for Ward 5 Council
2014,Council Ward 5,Kathy Henderson for Councilmember 2014
2014,Council Ward 5,Kenyan McDuffie 2014
2014,Council Ward 6,Charles Allen for Ward 6
2014,Council Ward 6,Darrell Thompson For Ward 6
2014,Council Ward 6,The Committe of Shelonda Tillman
2014,US Representative,Franklin for DC
2014,Democratic National Committeeman,The Rent is Too Darn High
2014,Democratic National Committeewoman,Anderson for DC Democratic National Committeewoman
2014,Alternate Democratic National Committeeman,DC Ready for Hillary
2014,Alternate Democratic National Committeewoman,Carson-Smith for DNC
2014,At-Large DC Democratic State Committee,Democrats Moving Forward
2014,At-Large DC Democratic State Committee,The Rent is Too Darn High
2014,Ward 1 DC Democratic State Committee ,Bill O'Field for Committeeman
2014,Ward 1 DC Democratic State Committee ,Ward One Democrats (Slate Cmte.)
2014,Ward 3 DC Democratic State Committee,Ward 3 Democrats for State Committee (Slate Commitee)
2014,Ward 6 DC Democratic State Committee,Ward Six Dems (Slate Committee)
2014,US Senator,Bubar For Senator
2014,US Senator,Committee to Elect David Schwartzman
2014,US Senator,Committee to Elect Glenda J Richmond for US Senator
2014,US Senator,Committee to Elect Glenda J. Richmond US Senator 2014
2014,US Senator,Ross 2014
2014,US Senator,Strauss 2014 Committee
2014,School Board Ward 1,David Do for Ward 1
2014,School Board Ward 1,Scott Simpson for Ward One Schools
2014,School Board Ward 1,Yes for Lillian Perdomo
2014,School Board Ward 8,Gaston 2014
2014,School Board Ward 8,Pannell for Education
2014,School Board Ward 8,"Tierra Jolly for School Board, Ward 8"
